ABUND,AREA,YR.ISOL,DIST,LDIST,GRAZE,ALT,L10DIST,L10LDIST,L10AREA,CYR.ISOL,CL10AREA,CGRAZE,RESID1,PREDICT1,AREARESY,AREARESX,GRAZRESY,GRAZRESX,YRRESY,YRRESX
53,0.1,1968,39,39,2,160,1.591064607,1.591064607,-1,18.25,-1.931934818,-0.982142857,-4.221798475,9.521798475,-16.48977754,-1.642250006,-1.31764844,-1.741370211,-4.324121916,-1.385163749
20,0.5,1920,234,234,5,60,2.369215857,2.369215857,-0.301029996,-29.75,-1.232964814,2.017857143,-1.033101765,3.033101765,-3.275035828,-0.300115953,-0.805154659,-0.13668037,-1.94230159,-12.30793867
15,0.5,1900,104,311,5,140,2.017033339,2.492760389,-0.301029996,-49.75,-1.232964814,2.017857143,-1.85564226,3.35564226,-6.688698659,-0.646975908,-1.424965338,-0.258240088,-3.808217168,-26.43222268
171,1,1966,66,66,3,160,1.819543936,1.819543936,0,16.25,-0.931934818,0.017857143,2.278827153,14.82117285,-1.778061515,-0.543074405,2.45852571,-0.107749845,3.056406846,10.52618238
138,1,1918,246,246,5,140,2.390935107,2.390935107,0,-31.75,-0.931934818,2.017857143,7.139004605,6.660995395,4.706386535,-0.325641821,6.157437314,0.588561893,6.47227658,-9.025571084
141,1,1965,234,285,3,130,2.369215857,2.45484486,0,15.25,-0.931934818,0.017857143,0.848414225,13.25158578,-5.359532775,-0.831025301,1.144089365,-0.177291075,1.890607731,14.10828886
38,1,1955,467,467,5,90,2.669316881,2.669316881,0,5.25,-0.931934818,2.017857143,-4.185824726,7.985824726,-6.603169006,-0.323597199,-6.44310279,1.353496456,-2.143408747,27.64841119
22,1,1920,284,1829,5,60,2.45331834,3.262213705,0,-29.75,-0.931934818,2.017857143,-2.426549015,4.626549015,-6.251075251,-0.511969266,-2.466848714,0.02416428,-2.728601705,-4.088920707
33,1,1965,156,156,4,130,2.193124598,2.193124598,0,15.25,-0.931934818,1.017857143,-8.613259118,11.91325912,-11.7590877,-0.421115571,-9.89556468,0.768888894,-6.886505449,23.37525557
30,1,1900,311,571,5,130,2.492760389,2.756636108,0,-49.75,-0.931934818,2.017857143,-1.806756441,4.806756441,-5.511626127,-0.495951471,-1.850812609,0.026416713,-3.592881055,-24.17896662
276,2,1926,66,332,3,210,1.819543936,2.521138084,0.301029996,-23.75,-0.630904822,0.017857143,12.96442347,14.63557653,6.828313845,-0.821408809,14.1715231,-0.723794333,11.49498912,-19.89189552
18,2,1890,93,93,5,160,1.968482949,1.968482949,0.301029996,-59.75,-0.630904822,2.017857143,-6.088605348,7.888605348,-4.734314122,0.181291862,-6.074193463,-0.008641574,-9.061708983,-40.24723303
212,2,1973,39,39,2,210,1.591064607,1.591064607,0.301029996,23.25,-0.630904822,-0.982142857,0.614448662,20.58555134,-3.409387545,-0.538649846,1.33993981,-0.435014947,1.085156291,6.372021282
146,2,1972,402,402,1,210,2.604226053,2.604226053,0.301029996,22.25,-0.630904822,-1.982142857,-6.003571144,20.60357114,-16.7882534,-1.443688842,-4.132704288,-1.121798728,-5.70494921,4.042478177
80,2,1900,259,259,5,120,2.413299764,2.413299764,0.301029996,-49.75,-0.630904822,2.017857143,0.844869799,7.155130201,1.183572936,0.045340412,0.632427217,0.127383634,-1.237746166,-28.19260287
35,2,1900,130,623,5,145,2.113943352,2.794488047,0.301029996,-49.75,-0.630904822,2.017857143,-4.167168128,7.667168128,-5.986103043,-0.243491276,-4.445798939,0.16707105,-5.897992506,-23.4303612
