SITE,HABITAT,V1GST,V2EYR,V3GF,V4BTH,V5GWH,V6WTTR,V7WEHE,V8WNHE,V9SFW,V10WBSW,V11CR,V12LK,V13RWB,V14AUR,V15STTH,V16LR,V17WPHE,V18YTH,V19ER,V20PCU,V21ESP,V22SCR,V23RBFT,V24BFCS,V25WAG,V26WWCH,V27NHHE,V28VS,V29CST,V30BTR,V31AMAG,V32SCC,V33RWH,V34WSW,V35STP,V36YFHE,V37WHIP,V38GAL,V39FHE,V40BRTH,V41SPP,V42SIL,V43GCU,V44MUSK,V45MGLK,V46BHHE,V47RFC,V48YTBC,V49LYRE,V50CHE,V51OWH,V52TRM,V53MB,V54STHR,V55LHE,V56FTC,V57PINK,V58OBO,V59YR,V60LFB,V61SPW,V62RBTR,V63DWS,V64BELL,V65LWB,V66CBW,V67GGC,V68PIL,V69SKF,V70RSL,V71PDOV,V72CRP,V73JW,V74BCHE,V75RCR,V76GBB,V77RRP,V78LLOR,V79YTHE,V80RF,V81SHBC,V82AZKF,V83SFC,V84YRTH,V85ROSE,V86BCOO,V87LFC,V88WG,V89PCOO,V90WTG,V91NMIN,V92NFB,V93DB,V94RBEE,V95HBC,V96DF,V97PCL,V98FLAME,V99WWT,V100WBWS,V101LCOR,V102KING,COMPCOR1,COMPCOR2,COMPCOR3
Reedy Lake,Mixed, 3.4,0.0, 0.0, 0.0,0.0, 0.0, 0.0,11.9, 0.4, 0.0, 1.1,3.8, 9.7,0.0, 0.0, 4.8,27.3, 0.0,5.1,0.0, 0.0,0.0, 0.0,0.6,1.9, 0.0, 0.0, 0.0,1.7,12.5,8.6,12.5, 0.6, 0.0,4.8, 0.0,0.0,4.8,26.2, 0.0,0.0, 0.0,0.0,13.1,1.7, 1.1,0.0,0.0,0.0, 0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.4, 0.0, 0.0,0.0,0.0,0.0,1.9, 6.7,0.0,0.0,0.0,0.0,0.0,0.0,4.8, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0, 1.78678927, 0.03473186, 2.399759572
Pearcedale,Gippsland Ma, 3.4,9.2, 0.0, 0.0,0.0, 0.0, 0.0,11.5, 8.3,12.6, 0.0,0.5,11.6,0.0, 0.0, 3.7,27.6, 0.0,2.7,0.0, 3.7,0.0, 1.1,1.1,3.4, 0.0, 6.9, 0.0,0.9, 0.0,0.0, 0.0, 2.3, 5.7,0.0, 1.1,0.0,0.0, 0.0, 0.0,1.1, 0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.24225153,-0.34526565, 1.025279503
Warneet,Gippsland Ma, 8.4,3.8, 0.7, 2.8,0.0, 0.0,10.7,12.3, 4.9,10.7, 0.0,1.9,16.6,2.3, 2.8, 5.5,27.5, 0.0,5.3,0.0, 0.0,0.0, 0.0,1.5,2.1, 0.0, 3.0, 0.0,1.5, 0.0,0.0, 0.0, 1.4,24.3,3.1,11.7,0.0,0.0, 0.0, 0.0,4.6, 0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.38896461,-0.67912645, 1.462000053
Cranbourne,Gippsland Ma, 3.0,5.0, 0.0, 5.0,2.0, 0.0, 3.0,10.0, 6.9,12.0, 0.0,2.0,11.0,1.5, 0.0,11.0,20.0, 0.0,2.1,0.0, 2.0,0.0, 5.0,1.4,3.4, 0.0,32.0, 0.0,1.4, 0.0,0.0, 0.0, 0.0,10.0,4.0, 0.0,0.0,2.8, 0.0, 0.0,0.8, 0.0,0.0, 0.0,1.4, 0.0,0.0,0.0,0.0, 0.0,0.0, 0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5, 0.0, 4.0,0.0,0.0,0.0,0.0, 0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.55289810,-0.36671363, 1.527705760
Lysterfield,Mixed, 5.6,5.6,12.9,12.2,9.5, 2.1, 7.9,28.6, 9.2, 5.0,19.1,3.6, 5.7,8.8, 7.0, 1.6, 0.0, 0.0,1.4,0.0, 3.5,0.7, 0.0,2.7,0.0, 0.0, 6.4, 0.0,0.0, 0.0,0.0, 0.0, 7.0, 0.0,0.0, 6.1,0.0,0.0, 0.0, 0.0,5.4, 0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,2.1,0.0,1.4,0.0,0.0,0.0,0.0,0.0,22.1, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0, 0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.53021211,-0.64758717, 0.048617597
Red Hill,Mixed, 8.1,4.1,10.9,24.5,5.6, 6.7, 9.4, 6.7, 0.0, 8.9,12.1,6.7, 2.7,0.0,16.8, 3.4, 0.0, 0.0,2.2,0.0, 3.4,0.0, 0.7,2.0,0.0, 0.0, 2.2, 5.4,0.0, 0.0,0.0, 0.0, 6.8, 0.0,0.0, 0.0,0.0,0.0, 0.0, 0.0,3.4, 2.7,1.4, 0.0,0.0, 0.0,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,1.4,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57888012,-0.27202260,-0.031574640
Devilbend,Mixed, 8.3,7.1, 6.9,29.1,4.2, 2.0, 7.1,27.4,13.1, 2.8, 0.0,2.8, 2.4,2.8,13.9, 0.0,16.7, 0.0,0.0,0.0, 5.5,0.0, 0.0,3.6,0.0, 0.0, 5.6, 5.6,4.6, 0.0,0.0, 0.0, 7.3, 3.6,2.4, 0.0,0.0,0.0, 0.0, 0.0,0.0, 1.2,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0, 0.0,0.0, 0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15383445,-0.64501921, 0.403031196
Olinda,Mixed, 4.6,5.3,11.1,28.2,3.9, 6.5, 2.6,10.9, 3.1, 8.6, 9.3,3.8, 0.6,1.3,10.2, 0.0, 0.0, 0.0,1.2,0.0, 5.1,0.0, 0.7,0.0,0.0, 0.0, 0.0, 1.9,0.0, 0.0,0.0, 0.0, 9.1, 0.0,0.0, 0.0,2.0,0.0, 0.0, 0.0,2.0, 0.0,2.6, 0.0,0.0, 0.0,0.0,1.9,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,1.9,2.0,0.7,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78047573, 0.09294651,-0.007187027
Fern Tree Gu,Montane Fore, 3.2,5.2, 8.3,18.2,3.8, 4.2, 2.8, 9.0, 3.8, 5.6,14.1,3.2, 0.0,0.0,12.2, 0.6, 0.0, 0.0,1.3,2.8, 7.1,0.0, 1.9,0.6,0.0, 0.0, 0.0, 4.2,0.0, 0.0,0.0, 0.0, 4.5, 0.0,0.0, 0.0,3.2,0.0, 0.0, 0.0,2.6, 4.9,1.3, 0.0,0.0, 0.0,0.0,2.6,0.6, 0.6,0.0, 0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,1.3,1.3,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0, 0.0,0.0,3.2,1.3,0.0,1.9,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.80638533, 0.56689281, 0.105219224
Sherwin,Foothills Wo, 4.6,1.2, 4.6, 6.5,2.3, 5.2, 0.6, 3.6, 3.8, 3.0, 7.5,2.4, 0.6,0.0,11.3, 5.8, 0.0, 9.6,2.3,2.9, 0.6,3.0, 0.0,1.2,0.0, 9.8, 0.0, 5.1,0.0, 0.0,0.0, 0.0, 6.3, 0.0,3.5, 2.3,0.0,0.0, 0.0, 6.0,4.2, 1.2,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0, 0.0,0.0, 0.0,1.2,0.0,0.0,1.7,0.0,1.2,0.0,0.0,0.0,0.6,0.0, 0.0, 0.0,0.6,0.0,0.0,2.3, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.6,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.06150722,-0.50470023,-1.010098434
