C3,C4,MAP,MAT,JJAMAP,DJFMAP,LONG,LAT,LC3,LC4,CLONG,CLAT,RESID1,PREDICT1
0.65,0,199,12.4,0.12,0.45,119.55,46.4,-0.1249387366083,-1,13.1498630136987,6.29575342465754,-0.0292293336836125,-0.0957094029246875
0.65,0,469,7.5,0.24,0.29,114.27,47.32,-0.1249387366083,-1,7.86986301369868,7.21575342465754,-0.0288084949659648,-0.0961302416423352
0.76,0.01,536,7.2,0.24,0.2,110.78,45.78,-0.0655015487564323,-0.958607314841775,4.37986301369868,5.67575342465754,0.168066337472603,-0.233567886229035
0.75,0.18,476,8.2,0.35,0.15,101.87,43.95,-0.0705810742857073,-0.552841968657781,-4.53013698630132,3.84575342465754,0.323799097855755,-0.394380172141462
0.33,0.28,484,4.8,0.4,0.14,102.82,46.9,-0.366531544420413,-0.42021640338319,-3.58013698630133,6.79575342465754,-0.0969099276503992,-0.269621616770014
0.03,0.83,623,12,0.4,0.11,99.38,38.87,-0.886056647693163,-0.0315170514460649,-7.02013698630132,-1.23424657534246,-0.311000816527614,-0.575055831165549
0,0.31,259,14.5,0.47,0.17,106.75,32.62,-1,-0.387216143280265,0.349863013698680,-7.48424657534246,-0.0780555900413767,-0.921944409958623
0.02,0.87,969,15.3,0.3,0.14,96.55,36.95,-0.920818753952375,-0.0132282657337552,-9.85013698630132,-3.15424657534246,-0.310602765835014,-0.610215988117361
0.05,0.72,542,13.9,0.44,0.13,101.53,35.3,-0.823908740944319,-0.0861861476162833,-4.87013698630132,-4.80424657534246,-0.103718215731708,-0.720190525212611
0.05,0.44,421,8.5,0.31,0.14,104.6,40.82,-0.823908740944319,-0.267606240177031,-1.80013698630133,0.715753424657542,-0.307346581428892,-0.516562159515427
0.36,0.41,446,5.1,0.41,0.15,102.5,47.75,-0.337242168318426,-0.292429823902064,-3.90013698630132,7.64575342465754,-0.0972177693783221,-0.240024398940104
0,0.5,376,11.2,0.51,0.17,105.55,33.48,-1,-0.221848749616356,-0.850136986301322,-6.62424657534246,-0.141350847119886,-0.858649152880114
0.21,0.7,661,17.8,0.27,0.16,99.23,33.33,-0.508638306165727,-0.0969100130080564,-7.17013698630132,-6.77424657534246,0.244260808776541,-0.752899114942268
0.51,0.25,575,6.1,0.36,0.16,99.1,45.33,-0.214670164989233,-0.455931955649724,-7.30013698630133,5.22575342465754,0.152462598560019,-0.367132763549252
0.07,0.78,885,12.9,0.37,0.12,96.6,39.1,-0.769551078621726,-0.0555173278498314,-9.80013698630133,-1.00424657534246,-0.215446362920068,-0.554104715701659
0.29,0.7,556,8.6,0.38,0.12,101.8,41.55,-0.408935392973501,-0.0969100130080564,-4.60013698630132,1.44575342465754,0.0771544361638787,-0.48608982913738
